Combo_Index,Sigma,Degree,Threshold,Mean_RMSE_Omega,Median_RMSE_Omega,Std_RMSE_Omega,Mean_RMSE_Theta,Mean_RMSE_Total,Num_Success,Num_Total,Task_ID
45,15,1,1e-10,0.039248,0.027585,0.056863,2.184964,1.545296,107235,107240,45
46,15,1,1e-05,0.039346,0.027612,0.057395,2.194915,1.552332,107235,107240,46
47,15,1,0.001,0.07489,0.059377,0.064917,7.991037,5.650801,107239,107240,47
48,15,1,0.01,0.090682,0.071022,0.090426,10.495061,7.421444,107240,107240,48
49,15,1,0.1,0.089744,0.071232,0.085367,10.477556,7.409059,107240,107240,49
50,15,2,1e-10,0.056364,0.021605,0.234182,3.315394,2.34479,85214,107240,50
51,15,2,1e-05,0.057006,0.021711,0.285808,6.22885,4.405145,87416,107240,51
52,15,2,0.001,0.084778,0.051619,0.218899,40419095.764277,28580616.704949,93247,107240,52
53,15,2,0.01,0.084893,0.070565,0.06762,46997.083753,33231.956917,106999,107240,53
54,15,2,0.1,0.089744,0.071232,0.085367,10.790991,7.630689,107240,107240,54
55,15,3,1e-10,0.120495,0.032363,0.497884,5.001788,3.540327,74319,107240,55
56,15,3,1e-05,0.078576,0.027567,0.33278,6037173.699233,4268926.463841,81485,107240,56
57,15,3,0.001,0.09045,0.050126,0.237626,317012611575242.0,224161767366510.56,99965,107240,57
58,15,3,0.01,0.087979,0.070092,0.087267,1930333350.193058,1364951801.872444,107084,107240,58
59,15,3,0.1,0.089743,0.071232,0.085367,12733961.643543,9004270.629809,107240,107240,59
